uin,acd_institute_name,acd_institute_type,acd_department,acd_position,acd_city,acd_state,acd_country,acd_postal_code,acd_tenure_from_date,acd_tenure_to_date,acd_association_level,acd_source_url1,acd_source_url2,acd_source_url3,acd_processed_date_timestamp,acd_inserted_date_timestamp,acd_updated_timestamp,acd_delete_flag_timestamp
AP022599,King George's Medical University,Academic,Department of Cardiology ,Associate Professor,Visakhapatnam,Andhra Pradesh,India,530002.0,2003.0,2024.0,National,https://www.linkedin.com/in/madhuri-gj-9a394898,,,2025-04-05 15:37:34,2025-04-05 15:37:34,,
AP022744,,,,,,,,,,,,,,,,,,
AP022877,,,,,,,,,,,,,,,,,,
AP022885,,,,,,,,,,,,,,,,,,
AP022895,,,,,,,,,,,,,,,,,,
AP022984,,,,,,,,,,,,,,,,,,
AP023078,,,,,,,,,,,,,,,,,,
AP023266,,,,,,,,,,,,,,,,,,
AP023286,,,,,,,,,,,,,,,,,,
AP023403,,,,,,,,,,,,,,,,,,
AP023404,,,,,,,,,,,,,,,,,,
AP023423,,,,,,,,,,,,,,,,,,
AP023424,,,,,,,,,,,,,,,,,,
AP023638,,,,,,,,,,,,,,,,,,
AP024087,,,,,,,,,,,,,,,,,,
AP024192,Sri Venkateswara Institute of Medical Sciences,Academic,,Assistant Professor,Tirupati,Andhra Pradesh,India,517507.0,2015.0,2016.0,National,https://www.linkedin.com/in/vasudeva-chetty-pakala-46370012b,,,2025-03-25 11:06:06,2025-03-25 11:06:06,,
AP024390,,,,,,,,,,,,,,,,,,
AP024501,,,,,,,,,,,,,,,,,,
AP024540,,,,,,,,,,,,,,,,,,
AP024802,,,,,,,,,,,,,,,,,,
AP024824,,,,,,,,,,,,,,,,,,
AP024849,,,,,,,,,,,,,,,,,,
AP024936,,,,,,,,,,,,,,,,,,
AP025028,,,,,,,,,,,,,,,,,,
AP025264,,,,,,,,,,,,,,,,,,
AP025280,Andhra Medical College,Academic,Department of General Medicine,Assistant Professor,Visakhapatnam,Andhra Pradesh,India,530002.0,,,National,https://www.medicoverhospitals.in/doctors/dr-g-ravi-kumar,,,2025-03-25 18:51:12,2025-03-25 18:51:12,,
AP025280,Andhra Medical College,Academic,Department of Cardiology,Assistant Professor,Visakhapatnam,Andhra Pradesh,India,530002.0,,,National,https://www.medicoverhospitals.in/doctors/dr-g-ravi-kumar,,,2025-03-25 18:51:12,2025-03-25 18:51:12,,
AP025280,Andhra Medical College,Academic,Department of Cardiology,Associate Professor,Visakhapatnam,Andhra Pradesh,India,530002.0,,,National,https://www.medicoverhospitals.in/doctors/dr-g-ravi-kumar,,,2025-03-25 18:51:12,2025-03-25 18:51:12,,
AP025293,,,,,,,,,,,,,,,,,,
AP025425,,,,,,,,,,,,,,,,,,
AP025694,,,,,,,,,,,,,,,,,,
AP025771,Viswabharathi Medical College,Academic,,Assistant Professor,Kurnool,Andhra Pradesh,India,518003.0,2016.0,2017.0,National,https://www.linkedin.com/in/dr-madhu-babu-19251b11a,,,2025-04-02 12:14:17,2025-04-02 12:14:17,,
AP025772,,,,,,,,,,,,,,,,,,
AP026370,,,,,,,,,,,,,,,,,,
AP027309,,,,,,,,,,,,,,,,,,
AP027730,,,,,,,,,,,,,,,,,,
AP028168,,,,,,,,,,,,,,,,,,
AP028190,,,,,,,,,,,,,,,,,,
AP028196,,,,,,,,,,,,,,,,,,
AP028229,,,,,,,,,,,,,,,,,,
AP028412,,,,,,,,,,,,,,,,,,
AP028416,,,,,,,,,,,,,,,,,,
AP028440,,,,,,,,,,,,,,,,,,
AP028524,,,,,,,,,,,,,,,,,,
AP028729,,,,,,,,,,,,,,,,,,
AP028731,,,,,,,,,,,,,,,,,,
AP028859,,,,,,,,,,,,,,,,,,
AP028928,,,,,,,,,,,,,,,,,,
AP028930,,,,,,,,,,,,,,,,,,
AP029147,,,,,,,,,,,,,,,,,,
AP029326,,,,,,,,,,,,,,,,,,
AP030059,,,,,,,,,,,,,,,,,,
AP030318,,,,,,,,,,,,,,,,,,
AP030412,,,,,,,,,,,,,,,,,,
AP031194,,,,,,,,,,,,,,,,,,
AP031588,,,,,,,,,,,,,,,,,,
AP031634,,,,,,,,,,,,,,,,,,
AP031660,,,,,,,,,,,,,,,,,,
AP031780,,,,,,,,,,,,,,,,,,
AP032398,,,,,,,,,,,,,,,,,,
AP032612,,,,,,,,,,,,,,,,,,
AP032717,,,,,,,,,,,,,,,,,,
AP032768,NRI Medical College and General Hospital,Academic,Department of Cardiology,Associate Professor,Guntur,Andhra Pradesh,India,522503.0,2016.0,,National,https://www.facebook.com/kamalakar.kosaraju/,,,2025-03-20 13:03:06,2025-03-20 13:03:06,,
AP033025,,,,,,,,,,,,,,,,,,
AP033260,,,,,,,,,,,,,,,,,,
AP033411,,,,,,,,,,,,,,,,,,
AP033676,,,,,,,,,,,,,,,,,,
AP033788,,,,,,,,,,,,,,,,,,
AP033790,,,,,,,,,,,,,,,,,,
AP033840,Andhra Medical College,Academic,Department of Cardiology,Assistant Professor,Visakhapatnam,Andhra Pradesh,India,530001.0,,,National,https://www.facebook.com/sivadayalk/,,,2025-03-22 14:07:38,2025-03-22 14:07:38,,
AP033906,,,,,,,,,,,,,,,,,,
AP034182,,,,,,,,,,,,,,,,,,
AP034222,Sri Venkateswara Institute of Medical Sciences,Academic,Department of Cardiology,Assistant Professor,Tirupati,Andhra Pradesh,India,517507.0,2015.0,2016.0,National,https://www.medicoverhospitals.in/doctors/dr-kurakula-naresh,,,2025-03-21 15:41:17,2025-03-21 15:41:17,,
AP034364,,,,,,,,,,,,,,,,,,
AP034609,,,,,,,,,,,,,,,,,,
AP034626,,,,,,,,,,,,,,,,,,
AP034758,,,,,,,,,,,,,,,,,,
AP034769,,,,,,,,,,,,,,,,,,
AP034816,,,,,,,,,,,,,,,,,,
AP034830,,,,,,,,,,,,,,,,,,
AP034893,,,,,,,,,,,,,,,,,,
AP034919,,,,,,,,,,,,,,,,,,
AP035064,,,,,,,,,,,,,,,,,,
AP035067,,,,,,,,,,,,,,,,,,
AP035069,,,,,,,,,,,,,,,,,,
AP035140,,,,,,,,,,,,,,,,,,
AP035587,,,,,,,,,,,,,,,,,,
AP035758,,,,,,,,,,,,,,,,,,
AP035789,,,,,,,,,,,,,,,,,,
AP035792,,,,,,,,,,,,,,,,,,
AP481064,,,,,,,,,,,,,,,,,,
AP481170,,,,,,,,,,,,,,,,,,
AP490307,,,,,,,,,,,,,,,,,,
AS000087,,,,,,,,,,,,,,,,,,
AS000090,,,,,,,,,,,,,,,,,,
AS000096,,,,,,,,,,,,,,,,,,
AS000099,,,,,,,,,,,,,,,,,,
AS000150,,,,,,,,,,,,,,,,,,
AS000167,,,,,,,,,,,,,,,,,,
AS000227,,,,,,,,,,,,,,,,,,
AS000244,,,,,,,,,,,,,,,,,,
AS000311,Silchar Medical College,Academic,Department of General Medicine,Assistant professor,Silchar,Assam,India,788014.0,,,National,https://www.facebook.com/watch/?v=949289429186990,,,2025-03-28 16:15:14,2025-03-28 16:15:14,,
AS000338,,,,,,,,,,,,,,,,,,
AS000855,,,,,,,,,,,,,,,,,,
AS001010,,,,,,,,,,,,,,,,,,
AS001073,,,,,,,,,,,,,,,,,,
AS001076,,,,,,,,,,,,,,,,,,
AS001368,,,,,,,,,,,,,,,,,,
AS001379,,,,,,,,,,,,,,,,,,
AS001383,,,,,,,,,,,,,,,,,,
AS001730,,,,,,,,,,,,,,,,,,
AS001775,,,,,,,,,,,,,,,,,,
AS001982,,,,,,,,,,,,,,,,,,
AS002002,,,,,,,,,,,,,,,,,,
AS002003,,,,,,,,,,,,,,,,,,
AS002005,,,,,,,,,,,,,,,,,,
AS002007,,,,,,,,,,,,,,,,,,
