client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
KL004876,2025-01-01,,0.75,,,0.5,2025-01-09 16:55:00,51.0
MH040504,2025-01-01,,0.3333333333333333,,,1.0,2025-01-09 16:57:00,91.0
UP026718,2025-01-01,0.6666666666666666,,,,0.5,2025-01-09 17:00:00,35.0
KL000785,2025-01-01,,0.6666666666666666,,,1.0,2025-01-09 17:01:00,57.0
MP010098,2025-01-01,0.6,,,,0.3333333333333333,2025-01-09 17:18:00,79.0
MH000677,2025-01-01,0.5,,,,0.5,2025-01-09 17:20:00,35.0
MH000866,2025-01-01,0.5,0.6666666666666666,,,1.0,2025-01-09 17:28:00,53.0
GJ012759,2025-01-01,,,,,1.0,2025-01-09 17:30:00,52.0
KA008251,2025-01-01,,,,,1.0,2025-01-09 17:32:00,78.0
OD016552,2025-01-01,,1.0,,,1.0,2025-01-09 17:43:00,73.0
RJ012150,2025-01-01,,1.0,,,1.0,2025-01-09 17:45:00,42.0
KL000502,2025-01-01,,1.0,,,1.0,2025-01-09 17:52:00,103.0
WB015638,2025-01-01,,,,,0.5,2025-01-09 17:53:00,34.0
GA017586,2025-01-01,0.25,0.3333333333333333,,,1.0,2025-01-09 17:56:00,74.0
CG008922,2025-01-01,,,,,0.6666666666666666,2025-01-09 17:58:00,33.0
TS014226,2025-01-01,0.75,,,,1.0,2025-01-09 18:01:00,69.0
MH073939,2025-01-01,,,,,,2025-01-09 18:25:00,8.0
MH077437,2025-01-01,,1.0,,,0.6666666666666666,2025-01-09 18:32:00,32.5
UP033224,2025-01-01,,,,,0.6666666666666666,2025-01-09 19:04:00,116.5
MP022032,2025-01-01,,,,,1.0,2025-01-10 10:18:00,35.0
TN009318,2025-01-01,,0.75,,,,2025-01-10 10:18:00,15.0
MP002357,2025-01-01,,,,,1.0,2025-01-10 10:21:00,61.0
WB043004,2025-01-01,,1.0,,,0.3333333333333333,2025-01-10 10:21:00,79.0
MH072087,2025-01-01,,,,,1.0,2025-01-10 10:22:00,72.0
