client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
KA003547,2025-02-01,,1.0,,,,2025-02-22 13:12:00,26.5
TN048685,2025-02-01,1.0,0.25,,,0.5,2025-02-22 13:13:00,41.0
MH049088,2025-02-01,,1.0,,,1.0,2025-02-22 13:14:00,35.0
AS010612,2025-02-01,1.0,,,,0.5,2025-02-22 13:15:00,51.0
GJ011343,2025-02-01,1.0,,,,,2025-02-22 13:15:00,8.0
HR012517,2025-02-01,,,,,,2025-02-22 13:15:00,25.0
KA016290,2025-02-01,,1.0,,,,2025-02-22 13:16:00,20.0
KL013831,2025-02-01,,,,,0.5,2025-02-22 13:16:00,43.0
GJ018379,2025-02-01,,1.0,,,1.0,2025-02-22 13:17:00,35.0
KA004128,2025-02-01,1.0,,,,,2025-02-22 13:18:00,21.0
MH082422,2025-02-01,,0.5,,,0.5,2025-02-22 13:18:00,54.0
UP059755,2025-02-01,0.4,,,,0.5,2025-02-22 13:18:00,65.0
AP013570,2025-02-01,0.8,,,,0.5,2025-02-22 13:20:00,66.0
PB007089,2025-02-01,,1.0,,,0.5,2025-02-22 13:20:00,51.0
JK008017,2025-02-01,,1.0,,,0.5,2025-02-22 13:22:00,58.0
TS025386,2025-02-01,,1.0,,,,2025-02-22 13:23:00,11.0
NL001034,2025-02-01,,1.0,,,0.5,2025-02-22 13:24:00,75.5
AP021283,2025-02-01,1.0,,,,,2025-02-22 13:28:00,7.5
MH035585,2025-02-01,1.0,0.25,,,,2025-02-22 13:29:00,6.5
KA036979,2025-02-01,1.0,,,,,2025-02-22 13:32:00,7.5
TN027178,2025-02-01,,1.0,,,,2025-02-22 13:33:00,28.0
TS003219,2025-02-01,,1.0,,,0.5,2025-02-22 13:33:00,70.0
AS002319,2025-02-01,1.0,1.0,,0.2,0.3333333333333333,2025-02-22 13:34:00,65.0
TS028599,2025-02-01,1.0,0.6666666666666666,,,,2025-02-22 13:37:00,9.0
BR008358,2025-02-01,,0.75,,0.25,0.5,2025-02-22 13:38:00,69.0
WB019022,2025-02-01,,1.0,,0.3333333333333333,1.0,2025-02-22 13:40:00,32.5
GJ018310,2025-02-01,1.0,1.0,,0.16666666666666666,0.3333333333333333,2025-02-22 13:41:00,64.0
KA030402,2025-02-01,,,,,,2025-02-22 13:41:00,15.5
MH044041,2025-02-01,,1.0,,,,2025-02-22 13:41:00,21.5
HR006227,2025-02-01,,0.2,,0.2,0.5,2025-02-22 13:44:00,104.0
UP000092,2025-02-01,0.8,1.0,,,,2025-02-22 13:44:00,12.0
GJ025353,2025-02-01,0.6,1.0,,,,2025-02-22 13:45:00,29.0
TN011514,2025-02-01,,0.3333333333333333,,,0.5,2025-02-22 13:46:00,48.0
MH039409,2025-02-01,,1.0,,,,2025-02-22 13:47:00,29.0
BR011196,2025-02-01,0.4,1.0,,,,2025-02-22 13:48:00,15.0
GJ009749,2025-02-01,0.3333333333333333,,,,,2025-02-22 13:49:00,2.0
GJ018212,2025-02-01,,,,,,2025-02-22 13:49:00,2.0
TN033858,2025-02-01,1.0,1.0,,,,2025-02-22 13:49:00,11.0
KL013862,2025-02-01,0.8,,,,,2025-02-22 13:50:00,20.0
KL028557,2025-02-01,,1.0,,,0.5,2025-02-22 13:50:00,68.0
TN015049,2025-02-01,,1.0,,,1.0,2025-02-22 13:51:00,37.0
WB003669,2025-02-01,1.0,,,,0.5,2025-02-22 13:51:00,24.5
KA017831,2025-02-01,,,,,0.5,2025-02-22 13:52:00,95.0
OD002541,2025-02-01,1.0,0.6666666666666666,,,0.5,2025-02-22 13:52:00,27.5
