UIN,award_name,awarded_by,award_year,award_country,award_level,award_source_url_1,award_source_url_2,award_source_url_3,award_processed_timestamp,award_inserted_timestamp,award_updated_timestamp,award_processed_date,award_inserted_date,award_updated_date,award_delete_flag_timestamp,award_processed_date timestamp,award_inserted_date timestamp
GJ017748,Winner in Tulsa 2017 Diabetologist Zonal Round Chennai,,2017,India,National,https://www.practo.com/surat/doctor/alpa-c-paneliya-diabetologist,,,18:11,18:11,,2025-06-12,2025-06-12,,,2025-06-12 18:11:18,2025-06-12 18:11:18
GJ017748,Best Orator in TYSA 2017 National Competition Ahmedabad,,2017,India,National,https://www.practo.com/surat/doctor/alpa-c-paneliya-diabetologist,,,18:11,18:11,,2025-06-12,2025-06-12,,,2025-06-12 18:11:18,2025-06-12 18:11:18
GJ019856,The Young Scholar Award,Endocrine Society of India,2016,India,National,https://www.practo.com/ahmedabad/doctor/s-k-agarwal-endocrinologist,,,15:28,15:28,,2025-04-17,2025-04-17,,,2025-04-17 15:28:31,2025-04-17 15:28:31
HR002078,ESI and AV Gandhi Award for excellence in endocrinology,,2016,India,National,https://www.practo.com/gurgaon/doctor/neelam-pandey-kukreti-endocrinologist,,,15:58,15:58,,2025-04-15,2025-04-15,,,2025-04-15 15:58:37,2025-04-15 15:58:37
HR002078,Prof. Kedarnath Memorial Gold Medal for best Post graduate in MD,,2006,India,National,https://www.practo.com/gurgaon/doctor/neelam-pandey-kukreti-endocrinologist,,,15:58,15:58,,2025-04-15,2025-04-15,,,2025-04-15 15:58:37,2025-04-15 15:58:37
HR004998,FICP,,2015,India,National,https://www.practo.com/gurgaon/doctor/dr-joy-chakraborty-internal-medicine,,,12:54,12:54,,2025-06-14,2025-06-14,,,2025-06-14 12:54:18,2025-06-14 12:54:18
HR005967,2nd Best Published Article,Endocrine Society of India,2012,India,National,https://www.practo.com/gurgaon/doctor/dr-beena-bansal-diabetologist,,,17:29,17:29,,2025-04-29,2025-04-29,,,2025-04-29 17:29:32,2025-04-29 17:29:32
HR005967,"Certificate of Merit, Pediatrics, Medicine",,1997,India,National,https://www.practo.com/gurgaon/doctor/dr-beena-bansal-diabetologist,,,17:29,17:29,,2025-04-29,2025-04-29,,,2025-04-29 17:29:32,2025-04-29 17:29:32
HR005967,"Certificate of Merit, Pathology",,1995,India,National,https://www.practo.com/gurgaon/doctor/dr-beena-bansal-diabetologist,,,17:29,17:29,,2025-04-29,2025-04-29,,,2025-04-29 17:29:32,2025-04-29 17:29:32
HR005967,"Certificate of Merit, Anatomy, Biochemistry",,1993,India,National,https://www.practo.com/gurgaon/doctor/dr-beena-bansal-diabetologist,,,17:29,17:29,,2025-04-29,2025-04-29,,,2025-04-29 17:29:32,2025-04-29 17:29:32
HR006145,Rajiv Gandhi Excellence Award,,2014,India,National,https://www.practo.com/panchkula/doctor/aditya-rattan-cardiologist,,,11:05,11:05,,2025-04-22,2025-04-22,,,2025-04-22 11:05:15,2025-04-22 11:05:15
HR006145,Accredition Award,Indian Academy of Echocardiography,2007,India,National,https://www.practo.com/panchkula/doctor/aditya-rattan-cardiologist,,,11:05,11:05,,2025-04-22,2025-04-22,,,2025-04-22 11:05:15,2025-04-22 11:05:15
HR007584,MRCPS (Glasgow),,2018,India,National,https://www.practo.com/gurgaon/doctor/paras-agarwal-diabetologist-1,,,10:58,10:58,,2025-04-17,2025-04-17,,,2025-04-17 10:58:08,2025-04-17 10:58:08
HR007584,Gold Medal (MBBS),,2004,India,National,https://www.practo.com/gurgaon/doctor/paras-agarwal-diabetologist-1,,,10:58,10:58,,2025-04-17,2025-04-17,,,2025-04-17 10:58:08,2025-04-17 10:58:08
HR008627,Several publications in reputed International and Indian journals,,,India,National,https://www.practo.com/gurgaon/doctor/rohit-goel-1-cardiologist,,,11:28,11:28,,2025-04-15,2025-04-15,,,2025-04-15 11:28:48,2025-04-15 11:28:48
HR010853,Best Researcher Armed forces,,2012,India,National,https://www.practo.com/gurgaon/doctor/abhay-ahluwalia-1-endocrinologist-endocrinologist,,,15:47,15:47,,2025-04-29,2025-04-29,,,2025-04-29 15:47:05,2025-04-29 15:47:05
HR010853,GOC Vice Chief Medal for Distinguished Service,,2009,India,National,https://www.practo.com/gurgaon/doctor/abhay-ahluwalia-1-endocrinologist-endocrinologist,,,15:47,15:47,,2025-04-29,2025-04-29,,,2025-04-29 15:47:05,2025-04-29 15:47:05
HR010853,DSL Award for best paper,Endocrine Society,2004,India,National,https://www.practo.com/gurgaon/doctor/abhay-ahluwalia-1-endocrinologist-endocrinologist,,,15:47,15:47,,2025-04-29,2025-04-29,,,2025-04-29 15:47:05,2025-04-29 15:47:05
HR010853,DP Basu Young Scientist Award,,2004,India,National,https://www.practo.com/gurgaon/doctor/abhay-ahluwalia-1-endocrinologist-endocrinologist,,,15:47,15:47,,2025-04-29,2025-04-29,,,2025-04-29 15:47:05,2025-04-29 15:47:05
HR010853,Gold Medal for standing first in MD Medicine,Armed Forces Medical College,1993,India,National,https://www.practo.com/gurgaon/doctor/abhay-ahluwalia-1-endocrinologist-endocrinologist,,,15:47,15:47,,2025-04-29,2025-04-29,,,2025-04-29 15:47:05,2025-04-29 15:47:05
HR011643,Several publications in reputed International and Indian journals,,,India,National,https://www.practo.com/gurgaon/doctor/rohit-goel-1-cardiologist?practice_id=727274&specialization=Tetralogy%20of%20Fallot%20(TOF)&referrer=doctor_listing&category_name=service&category_id=184085,,,18:13,18:13,,2025-06-13,2025-06-13,,,2025-06-13 18:13:57,2025-06-13 18:13:57
JH002889,Certificate in Advance Clinical Diabetology,,2000,United States,National,https://www.practo.com/ranchi/doctor/dr-ajay-chhabra-diabetologist,,,17:53,17:53,,2025-04-17,2025-04-17,,,2025-04-17 17:53:17,2025-04-17 17:53:17
JH002889,Certificate in Advance Thyroid Disease,,2000,India,National,https://www.practo.com/ranchi/doctor/dr-ajay-chhabra-diabetologist,,,17:53,17:53,,2025-04-17,2025-04-17,,,2025-04-17 17:53:17,2025-04-17 17:53:17
JH005026,Doctor of the Month,,2016,India,National,https://www.practo.com/kota/doctor/dr-pankaj-verma-2-infectious-diseases-physician/stories?fingerprint=8939e34a-4877-488a-bce2-aa1de341af90&from_amp=true,,,17:14,17:14,,2025-04-19,2025-04-19,,,2025-04-19 17:14:43,2025-04-19 17:14:43
