Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP028731,"February, 2025",,60.00%,,,,,
AP028768,"February, 2025",,100.00%,,,,,
AP029054,"February, 2025",100.00%,100.00%,,,,,
AP029150,"February, 2025",100.00%,100.00%,,,,,
AP029263,"February, 2025",,100.00%,,,,,
AP029308,"February, 2025",100.00%,,,,,,
AP029366,"February, 2025",,25.00%,,,,,
AP029559,"February, 2025",,100.00%,,,,,
AP029593,"February, 2025",,100.00%,,,,,
AP029675,"February, 2025",80.00%,,,,,,
AP030110,"February, 2025",,100.00%,,,,,
AP030160,"February, 2025",100.00%,100.00%,,,,,
AP030285,"February, 2025",,100.00%,,,,,
AP030985,"February, 2025",100.00%,,,,,,
AP031077,"February, 2025",60.00%,100.00%,,,,,
AP031331,"February, 2025",,100.00%,,,,,
AP031473,"February, 2025",,100.00%,,,,,
AP031674,"February, 2025",,100.00%,,,,,
AP031756,"February, 2025",,100.00%,,,,,
AP031826,"February, 2025",100.00%,,,,,,
AP032034,"February, 2025",100.00%,,,,,,
AP032306,"February, 2025",,100.00%,,,,,
AP032322,"February, 2025",100.00%,,,,,,
AP032398,"February, 2025",60.00%,,,,,,
AP032483,"February, 2025",100.00%,,,,,,
AP032612,"February, 2025",,100.00%,,,,,
AP032685,"February, 2025",,100.00%,,,,,
AP032833,"February, 2025",,100.00%,,,,,
AP032915,"February, 2025",75.00%,100.00%,,,,,
AP032979,"February, 2025",100.00%,100.00%,,,,,
AP033039,"February, 2025",100.00%,100.00%,,,,,
AP033147,"February, 2025",100.00%,100.00%,,,,,
AP033278,"February, 2025",80.00%,100.00%,,,,,
AP033316,"February, 2025",,100.00%,,,,,
AP033399,"February, 2025",100.00%,100.00%,,,,,
AP033411,"February, 2025",,100.00%,,,,,
AP033665,"February, 2025",,100.00%,,,,,
AP033673,"February, 2025",100.00%,100.00%,,,,,
AP033703,"February, 2025",,100.00%,,,,,
AP033764,"February, 2025",60.00%,100.00%,,,,,
AP033766,"February, 2025",,100.00%,,,,,
AP033830,"February, 2025",,100.00%,,,,,
AP033840,"February, 2025",,100.00%,,,,,
AP033868,"February, 2025",,100.00%,,,,,
AP033906,"February, 2025",80.00%,100.00%,,,,,
AP033959,"February, 2025",60.00%,100.00%,,,,,
AP033976,"February, 2025",60.00%,100.00%,,,,,
AP033991,"February, 2025",,100.00%,,,,,
AP034006,"February, 2025",100.00%,100.00%,,,,,
AP034062,"February, 2025",80.00%,75.00%,,,,,
AP034132,"February, 2025",,100.00%,,,,,
AP034164,"February, 2025",,100.00%,,,,,
AP034227,"February, 2025",,100.00%,,,,,
AP034357,"February, 2025",,100.00%,,20.00%,,,
AP034364,"February, 2025",100.00%,100.00%,,,,,
AP034365,"February, 2025",80.00%,100.00%,,,,,
AP034592,"February, 2025",60.00%,,,,,,
AP034626,"February, 2025",,100.00%,,,,,
AP034644,"February, 2025",,100.00%,,,,,
AP034816,"February, 2025",100.00%,100.00%,,,,,
AP034820,"February, 2025",,100.00%,,,,,
AP034829,"February, 2025",60.00%,100.00%,,,,,
AP035066,"February, 2025",,75.00%,,,,,
AP035081,"February, 2025",66.70%,25.00%,,,,,
AP035129,"February, 2025",,100.00%,,,,,
AP035140,"February, 2025",100.00%,100.00%,,,,,
AP035141,"February, 2025",66.70%,100.00%,,,,,
AP035157,"February, 2025",,100.00%,,,,,
AP035168,"February, 2025",100.00%,100.00%,,,,,
AP035182,"February, 2025",33.30%,,,,,,
AP035218,"February, 2025",66.70%,100.00%,,,,,
AP035219,"February, 2025",33.30%,50.00%,,,,,
AP035228,"February, 2025",100.00%,100.00%,,,,,
AP035405,"February, 2025",100.00%,100.00%,,,,,
AP035483,"February, 2025",,100.00%,,,,,
AP035584,"February, 2025",,100.00%,,,,,
AP035587,"February, 2025",66.70%,100.00%,,33.33%,,,
AP035755,"February, 2025",33.30%,100.00%,,,,,
