UIN,event_name,event_topic,event_keywords,event_type,event_role,event_start_date,event_end_date,event_other_participants,other_participants_role,event_sponsor,event_location,event_city,event_country,event_link,event_processed_timestamp,event_inserted_timestamp,event_updated_timestamp,event_processed_date,event_inserted_date,event_updated_date,event_delete_flag_timestamp,event_processed_date timestamp,event_inserted_date timestamp
MH037067,"2025 Annual Conference of the Cardiological Society of India, Maharashtra State",Session 21 - Chronic Coronary Syndromes (10 mins talk + 2 mins discussion),Coronary Syndrome,Conference,Chair,2025-02-28,2025-03-02,"Vilas Magarkar, Kashif Syed",Chair,Cardiological Society of India - Maharashtra State Chapter,Rama International - Chh. Sambhaji Nagar,Aurangabad,India,https://www.csimaharashtra.com/Brochure/CSI_Maharashtra_Brochure.pdf,17:42,17:42,,2025-04-17,2025-04-17,,,2025-04-17 17:42:59,2025-04-17 17:42:59
MH037067,"2025 Annual Conference of the Cardiological Society of India, Maharashtra State",Session 23 - My Best Managed Case/Complications (10 mins talk + 2 mins discussion),Cardiology,Conference,Chair,2025-02-28,2025-03-02,"Balbir Singh, Haresh Mehta, Satish Roplekar",Chair,Cardiological Society of India - Maharashtra State Chapter,Rama International - Chh. Sambhaji Nagar,Aurangabad,India,https://www.csimaharashtra.com/Brochure/CSI_Maharashtra_Brochure.pdf,17:42,17:42,,2025-04-17,2025-04-17,,,2025-04-17 17:42:59,2025-04-17 17:42:59
MH037067,2023 India Live Cardiology Conference,Session 4: TCT @ India Live - Innovation in the Interventional Space,Intervention,Conference,Commentator,2023-03-15,2023-03-18,,,,Hotel ITC Grand Chola,Chennai,India,https://promeetings.live/Indialive2023/index5.php,17:42,17:42,,2025-04-17,2025-04-17,,,2025-04-17 17:42:59,2025-04-17 17:42:59
MH037110,"2025 Annual Conference of the Cardiological Society of India, Maharashtra State",Session 21 - Chronic Coronary Syndromes (10 mins talk + 2 mins discussion),Coronary Syndrome,Conference,Panellist,2025-02-28,2025-03-02,"Rahul Shewale, Ajeya Ukadgaonkar",Panellist,Cardiological Society of India - Maharashtra State Chapter,Rama International - Chh. Sambhaji Nagar,Aurangabad,India,https://www.csimaharashtra.com/Brochure/CSI_PUNE_2024_PARTNERSHIP_BROCHURE_V6.pdf,9:01,9:01,,2025-04-15,2025-04-15,,,2025-04-15 09:01:06,2025-04-15 09:01:06
MH038140,2024 Coronary Intervention Imaging Structural Programme Conference,Left Main Session 1,Coronary Intervention,Conference,Panellist,2024-10-18,2024-10-20,,,,Aurika Hotels & Resorts,Mumbai,India,https://crispcon.in/CRISP-2024_Brochure.pdf,11:51,11:51,,2025-04-17,2025-04-17,,,2025-04-17 11:51:19,2025-04-17 11:51:19
MH038287,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,STEMI Where Not to Stent,STEMI,Conference,Speaker,2025-03-20,2025-03-23,,,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,15:35,15:35,,2025-04-21,2025-04-21,,,2025-04-21 15:35:58,2025-04-21 15:35:58
MH038287,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,Complications: When you Least Expect it,Interventional Cardiology,Conference,Co-Chair,2025-03-20,2025-03-23,"Sharad Chandra, Suman Bhandari, Yunus Loya",Co-Chair,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,15:35,15:35,,2025-04-21,2025-04-21,,,2025-04-21 15:35:58,2025-04-21 15:35:58
MH038287,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,Complex Coronary,Coronary Syndrome,Conference,Speaker,2025-03-20,2025-03-23,Sarat Chandra,Speaker,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,15:35,15:35,,2025-04-21,2025-04-21,,,2025-04-21 15:35:58,2025-04-21 15:35:58
MH038287,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,Discussion on Cardiology,Cardiology,Conference,Panellist,2025-03-20,2025-03-23,"Nitin Tiwari, Arun Gopi, Dhananjay Kumar",Panellist,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,15:35,15:35,,2025-04-21,2025-04-21,,,2025-04-21 15:35:58,2025-04-21 15:35:58
MH038287,2025 Academy of Cardiology Interactive Scientific Meeting,CABG in “Full metal jacket” coronaries,Coronary Artery Bypass Grafting,Meeting,Speaker,2025-05-03,2025-05-04,,,Academy of Cardiology,Aurika by Lemon Tree Hotels,Mumbai,India,https://acadcard.org/scientific-program/,15:35,15:35,,2025-04-21,2025-04-21,,,2025-04-21 15:35:58,2025-04-21 15:35:58
